id,category,sample_question,coverage,documented_source,recommended_answer,gap_or_action,weight
Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md,"Gate status, access/risk, last verification, recent Signals, and quick actions like Passed, Blocked, Permit Required, Hostile Nearby.",None.,5
Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md,"Purpose, access state, manifest status, last check, warnings, and quick actions like Access Worked or Access Denied.",None.,4
Q019,Dossiers,Can Signal Vault track markets?,yes,product/02-feature-to-gameplay-map.md; architecture/05-signal-domain-model.md,"Yes. Market reports can track open/closed, liquidity, trade usefulness, and hostile trade hubs.",None.,4
Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md,"Yes. System and route dossiers aggregate Signals about safety, gates, markets, storage, and route freshness.",None.,4
Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md,Signals decay based on type because intel changes. Stale means reconfirm before acting.,Need exact stale timing values surfaced to users.,4
Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md,Current design degrades intel rather than deleting it. Auto-deletion is not specified.,Need retention policy decision.,2
Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md,"Contradicted means recent reports disagree, such as one report saying a gate passed and another saying blocked.",None.,4
Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md,Not by default. It surfaces conflict so players can re-scout or corroborate.,None.,3
Q025,Local First,What happens if I lose connection while in-game?,yes,decisions/ADR-005-local-first-capture.md; phases/phase-06-local-first-sync.md,Local-first capture stores drafts/Signals in IndexedDB/Dexie and syncs later when possible.,None.,4
Q026,Local First,Where are anonymous notes stored?,yes,decisions/ADR-005-local-first-capture.md; phases/phase-06-local-first-sync.md,"Anonymous/local notes are stored locally first, not published to shared vaults.",Need user-facing storage/privacy wording.,3
Q027,Local First,Can I export my notes?,yes,product/00-prd.md; phases/phase-06-local-first-sync.md,Yes. Import/export JSON or local backup is in v0.1/local-first scope.,None.,2
Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md,"Yes, but tribe vault is a later phase after identity, entities, and Signal MVP.",Need final role model and integration implementation.,4
Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md,Yes. Officer and scout-cell visibility scopes are planned.,None.,3
Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md,Yes in principle. Later FrontierWarden integration should support operator/tribe-controlled policy domains.,Need detailed FrontierWarden mapping doc.,3
Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md,"Initial strategy is map-aware handoff/copy/open actions, not direct control. Signal Bridge may add current-system context later.",Need research/prototype against actual map APIs/tooling.,5
Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md,"No. Signal Vault should complement map tools first, focusing on contextual memory rather than full map rendering.",None.,3
Q033,Map/Bridge,Can it detect my current system?,partial,phases/phase-10-map-and-bridge.md,Not in v0.1. A later Signal Bridge/log watcher may provide current-system detection.,Need desktop bridge design.,4
Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md,Use in-game object routes such as /ingame/object?tenant=&itemId= or /ingame/object/:objectId configured as a dApp URL.,Need exact live configuration steps/screenshots.,4
Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md,The design assumes custom assembly URL support; implementation must verify exact sponsored transaction/config flow.,Need step-by-step operator guide after testing.,3
Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md,No. Anonymous users only see public data. Tribe/officer/scout-cell Signals require resolved ViewerContext and permissions.,None.,4
Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md,Manual intel is useful but subjective; Signal Vault labels it clearly and separates it from verified/indexed/on-chain data.,None.,3
Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md,"No. It must not store private keys, seed phrases, or wallet secrets.",None.,3
Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md,"Codes are short-lived, one-time use, hashed server-side, and revocable via session controls.",None.,3
Q040,Developer,Why Vite/React instead of Next.js?,yes,decisions/ADR-001-stack-choice.md,Vite/React matches EVE dApp Kit and static in-game dApp needs; Next.js adds unnecessary SSR/server complexity.,None.,3
Q041,Developer,Why not build vanilla TypeScript?,yes,decisions/ADR-001-stack-choice.md,Vanilla could be smaller but increases integration cost with the React-first EVE dApp Kit.,None.,2
Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md,Dependencies must be chosen for EVE Frontier compatibility. dApp Kit is the dependency anchor.,None.,3
Q043,Developer,What is the repo structure?,yes,implementation/00-repo-structure.md,Use modular app/features/lib structure or monorepo-lite apps/packages separation.,None.,3
Q044,Developer,What tests are required?,yes,implementation/08-testing-strategy.md,"Typecheck, lint, unit tests, component tests, integration tests, and build must pass per phase.",None.,3
Q045,Developer,Can an AI assistant rewrite App.tsx into a giant file?,yes,implementation/09-ai-coding-guardrails.md,No. No monolith rule: no App.tsx business logic and no files above ~400 lines without justification.,None.,3
Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md,"Docs define sessions, access codes, entities, Signals, signal_entities, and audit_log tables.",None.,3
Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md,Either Supabase or thin Hono/Fastify API. v0.1 should avoid heavy backend complexity.,None.,3
Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md,"Permission checks use ViewerContext, Signal visibility, role scopes, and server-side validation for shared reads/writes.",None.,4
Q049,Release,What must pass before release?,yes,operations/04-release-checklist.md,"Typecheck, lint, tests, build, security checks, in-game route, unknown object fallback, quick capture, local storage, docs updated.",None.,2
Q050,Release,What are the biggest project risks?,yes,operations/03-risk-register.md,"Risks include in-game wallet limitations, unresolved object types, dependency drift, stale/manual intel trust, backend failure, scope creep, and permission leakage.",None.,2
Q051,Privacy,Can I delete my Signals?,partial,phases/phase-04-signals-mvp.md; implementation/04-api-contracts.md,"Signal CRUD includes delete, but privacy/data retention policy is not fully documented.",Need privacy/deletion policy doc.,3
Q052,Privacy,Who owns tribe data?,gap,phases/phase-08-tribe-vault.md,"Not fully documented. Need explicit data ownership policy for tribe vaults, operators, and members.",Create data ownership policy.,3
Q053,Support,How do I recover lost local drafts?,partial,phases/phase-06-local-first-sync.md,"Local-first storage is planned, but recovery UX is not documented in detail.",Need recovery guide.,2
Q054,Support,What if access code login fails?,partial,architecture/03-viewer-context.md,"Access-code flow is defined, but troubleshooting steps are not yet documented.",Need support troubleshooting doc.,3
Q055,Support,What if the in-game browser cannot render the app?,gap,operations/03-risk-register.md,Browser compatibility risk is implied but no detailed fallback/support guide exists.,Need in-game browser compatibility/support doc.,3
Q056,Support,How do I report wrong object classification?,partial,architecture/04-entity-resolution.md,"Conflicts/manual classification are supported, but report/review workflow is not specified.",Need classification dispute workflow.,2
Q057,Support,Can I transfer private notes to another character?,gap,architecture/03-viewer-context.md,Not documented.,Need account/character transfer policy.,2
Q058,Support,What happens if my tribe changes?,gap,architecture/03-viewer-context.md; phases/phase-08-tribe-vault.md,"Character/tribe state exists, but tribe change behavior is not documented.",Need tribe membership change policy.,3
Q059,Support,Can I make a Signal public later?,partial,architecture/08-security-and-permissions.md,"Visibility scopes are defined, but visibility-change workflow and audit behavior need details.",Need Signal visibility lifecycle doc.,3
Q060,Support,Can I attach screenshots/files?,gap,product/00-prd.md,Screenshots were discussed conceptually but not specified in v0.1 docs.,Need attachment policy/storage spec.,2
