sim_id,persona,archetype_id,category,question,coverage,source_docs
42,Tribe Officer,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
43,Solo Scout,Q013,Signals,Can I edit a Signal later?,yes,product/00-prd.md; phases/phase-04-signals-mvp.md
44,Solo Scout,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
45,New Player,Q005,Identity/Auth,Can someone spoof my identity by changing the URL?,yes,architecture/08-security-and-permissions.md; decisions/ADR-003-viewer-context.md
46,New Player,Q054,Support,What if access code login fails?,partial,architecture/03-viewer-context.md
47,New Player,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
48,Hauler,Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md
49,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
50,Hauler,Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md
51,Tribe Officer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
52,Solo Scout,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
53,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
54,Hauler,Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md
55,Builder / Operator,Q005,Identity/Auth,Can someone spoof my identity by changing the URL?,yes,architecture/08-security-and-permissions.md; decisions/ADR-003-viewer-context.md
56,Tribe Officer,Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md
57,Intel Analyst,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
58,Tribe Member,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
59,New Player,Q055,Support,What if the in-game browser cannot render the app?,gap,operations/03-risk-register.md
60,Builder / Operator,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
61,Builder / Operator,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
62,Tribe Member,Q005,Identity/Auth,Can someone spoof my identity by changing the URL?,yes,architecture/08-security-and-permissions.md; decisions/ADR-003-viewer-context.md
63,Tribe Member,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
64,Tribe Member,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
65,Developer / Maintainer,Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md
66,New Player,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
67,Developer / Maintainer,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
68,Tribe Member,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
69,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
70,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
71,Intel Analyst,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
72,Tribe Officer,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
73,Solo Scout,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
74,Intel Analyst,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
75,Tribe Member,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
76,Builder / Operator,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
77,New Player,Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md
78,New Player,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
79,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
80,Solo Scout,Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md
81,Tribe Officer,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
82,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
83,Hauler,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
84,New Player,Q053,Support,How do I recover lost local drafts?,partial,phases/phase-06-local-first-sync.md
85,Tribe Member,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
86,New Player,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
87,Developer / Maintainer,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
88,Hauler,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
89,Tribe Member,Q058,Support,What happens if my tribe changes?,gap,architecture/03-viewer-context.md; phases/phase-08-tribe-vault.md
90,Builder / Operator,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
91,New Player,Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md
92,Hauler,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
93,Hauler,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
94,Builder / Operator,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
95,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
96,Solo Scout,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
97,New Player,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
98,New Player,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
99,Tribe Member,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
100,New Player,Q013,Signals,Can I edit a Signal later?,yes,product/00-prd.md; phases/phase-04-signals-mvp.md
101,Tribe Member,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
102,Tribe Member,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
103,Developer / Maintainer,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
104,New Player,Q010,Object Resolution,Can Signal Vault infer gate/storage/turret type from chain data?,partial,architecture/04-entity-resolution.md; phases/phase-07-eve-frontier-integration.md
105,Tribe Member,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
106,New Player,Q019,Dossiers,Can Signal Vault track markets?,yes,product/02-feature-to-gameplay-map.md; architecture/05-signal-domain-model.md
107,Tribe Officer,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
108,Tribe Officer,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
109,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
110,Intel Analyst,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
111,Builder / Operator,Q007,Object Resolution,Can I manually mark an object as a gate or storage unit?,yes,architecture/04-entity-resolution.md; phases/phase-03-entity-resolution.md
112,Tribe Member,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
113,Tribe Officer,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
114,Solo Scout,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
115,Builder / Operator,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
116,Solo Scout,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
117,Developer / Maintainer,Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md
118,Intel Analyst,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
119,Solo Scout,Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md
120,Intel Analyst,Q044,Developer,What tests are required?,yes,implementation/08-testing-strategy.md
121,Solo Scout,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
122,Hauler,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
123,Builder / Operator,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
124,Developer / Maintainer,Q033,Map/Bridge,Can it detect my current system?,partial,phases/phase-10-map-and-bridge.md
125,Tribe Officer,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
126,New Player,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
127,Builder / Operator,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
128,Builder / Operator,Q007,Object Resolution,Can I manually mark an object as a gate or storage unit?,yes,architecture/04-entity-resolution.md; phases/phase-03-entity-resolution.md
129,New Player,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
130,Intel Analyst,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
131,Tribe Officer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
132,Solo Scout,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
133,Hauler,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
134,Tribe Officer,Q043,Developer,What is the repo structure?,yes,implementation/00-repo-structure.md
135,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
136,Hauler,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
137,Tribe Member,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
138,Tribe Member,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
139,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
140,Builder / Operator,Q059,Support,Can I make a Signal public later?,partial,architecture/08-security-and-permissions.md
141,Tribe Member,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
142,Tribe Officer,Q051,Privacy,Can I delete my Signals?,partial,phases/phase-04-signals-mvp.md; implementation/04-api-contracts.md
143,Hauler,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
144,Hauler,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
145,Developer / Maintainer,Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md
146,Builder / Operator,Q041,Developer,Why not build vanilla TypeScript?,yes,decisions/ADR-001-stack-choice.md
147,New Player,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
148,New Player,Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md
149,Solo Scout,Q013,Signals,Can I edit a Signal later?,yes,product/00-prd.md; phases/phase-04-signals-mvp.md
150,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
151,Tribe Member,Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md
152,New Player,Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md
153,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
154,Tribe Officer,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
155,Builder / Operator,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
156,New Player,Q044,Developer,What tests are required?,yes,implementation/08-testing-strategy.md
157,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
158,Tribe Officer,Q052,Privacy,Who owns tribe data?,gap,phases/phase-08-tribe-vault.md
159,New Player,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
160,Builder / Operator,Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md
161,Tribe Member,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
162,Tribe Member,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
163,Tribe Member,Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md
164,New Player,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
165,Hauler,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
166,Tribe Member,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
167,Builder / Operator,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
168,Solo Scout,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
169,Tribe Officer,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
170,Tribe Officer,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
171,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
172,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
173,Builder / Operator,Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md
174,Solo Scout,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
175,Builder / Operator,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
176,Solo Scout,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
177,Developer / Maintainer,Q050,Release,What are the biggest project risks?,yes,operations/03-risk-register.md
178,Builder / Operator,Q041,Developer,Why not build vanilla TypeScript?,yes,decisions/ADR-001-stack-choice.md
179,New Player,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
180,New Player,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
181,Builder / Operator,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
182,Hauler,Q033,Map/Bridge,Can it detect my current system?,partial,phases/phase-10-map-and-bridge.md
183,Solo Scout,Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md
184,New Player,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
185,New Player,Q010,Object Resolution,Can Signal Vault infer gate/storage/turret type from chain data?,partial,architecture/04-entity-resolution.md; phases/phase-07-eve-frontier-integration.md
186,New Player,Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md
187,Tribe Member,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
188,Tribe Member,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
189,Tribe Member,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
190,Tribe Member,Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md
191,Solo Scout,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
192,New Player,Q058,Support,What happens if my tribe changes?,gap,architecture/03-viewer-context.md; phases/phase-08-tribe-vault.md
193,Hauler,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
194,Tribe Officer,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
195,Builder / Operator,Q007,Object Resolution,Can I manually mark an object as a gate or storage unit?,yes,architecture/04-entity-resolution.md; phases/phase-03-entity-resolution.md
196,Tribe Member,Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md
197,New Player,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
198,Builder / Operator,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
199,Hauler,Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md
200,Tribe Member,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
201,Intel Analyst,Q051,Privacy,Can I delete my Signals?,partial,phases/phase-04-signals-mvp.md; implementation/04-api-contracts.md
202,New Player,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
203,Tribe Member,Q060,Support,Can I attach screenshots/files?,gap,product/00-prd.md
204,Tribe Officer,Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md
205,New Player,Q060,Support,Can I attach screenshots/files?,gap,product/00-prd.md
206,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
207,Hauler,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
208,Intel Analyst,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
209,Developer / Maintainer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
210,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
211,Builder / Operator,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
212,New Player,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
213,New Player,Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md
214,Tribe Officer,Q010,Object Resolution,Can Signal Vault infer gate/storage/turret type from chain data?,partial,architecture/04-entity-resolution.md; phases/phase-07-eve-frontier-integration.md
215,Tribe Member,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
216,Tribe Officer,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
217,Tribe Officer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
218,New Player,Q054,Support,What if access code login fails?,partial,architecture/03-viewer-context.md
219,Hauler,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
220,Tribe Officer,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
221,Tribe Member,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
222,Hauler,Q027,Local First,Can I export my notes?,yes,product/00-prd.md; phases/phase-06-local-first-sync.md
223,Intel Analyst,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
224,Builder / Operator,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
225,New Player,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
226,Tribe Officer,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
227,Tribe Member,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
228,Developer / Maintainer,Q059,Support,Can I make a Signal public later?,partial,architecture/08-security-and-permissions.md
229,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
230,Builder / Operator,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
231,Tribe Officer,Q059,Support,Can I make a Signal public later?,partial,architecture/08-security-and-permissions.md
232,Tribe Member,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
233,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
234,Intel Analyst,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
235,Tribe Officer,Q052,Privacy,Who owns tribe data?,gap,phases/phase-08-tribe-vault.md
236,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
237,Intel Analyst,Q049,Release,What must pass before release?,yes,operations/04-release-checklist.md
238,Hauler,Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md
239,New Player,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
240,Builder / Operator,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
